,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
1647,1648,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,25-054,1999,5,5,450,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,37,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,7,6,2,4,1,6,8,75.0,2,1,0,1,5,12,18,0
1648,1649,Samuele Ricci,it ITA,MF,Torino,it Serie A,23-042,2001,6,6,509,5.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,11,26,6,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,5,3,2,2,1,4,5,80.0,1,4,2,2,3,8,10,0
1649,1650,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,25-262,1999,5,5,402,4.5,0,0,0,0,0,0,4,1,0.2,0.2,0.6,0.8,13,36,21,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.18,0.05,0.18,2,1,0,2,0,2,5,40.0,3,6,4,2,4,6,6,0
1650,1651,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,24-188,2000,4,4,344,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,10,5,5,4,1,6,11,54.5,5,7,1,6,3,13,17,0
1651,1652,Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,22-252,2002,2,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,4,4,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,4,1,4,0,0,0,2,0.0,2,1,0,1,0,4,1,0
1652,1653,Richarlison,br BRA,"FW,MF",Tottenham,eng Premier League,27-145,1997,2,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.67,0.67,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
1653,1654,Diego Rico,es ESP,DF,Getafe,es La Liga,31-222,1993,8,7,627,7.0,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,9,23,26,0.00,0.14,0.14,0.00,0.14,0.03,0.07,0.10,0.03,0.10,26,13,16,7,3,14,20,70.0,6,5,0,5,3,29,11,1
1654,1655,Fabian Rieder,ch SUI,"MF,FW",Stuttgart,de Bundesliga,22-229,2002,5,2,235,2.6,1,2,3,1,0,0,0,0,0.3,0.3,1.0,1.3,9,11,20,0.38,0.77,1.15,0.38,1.15,0.12,0.38,0.50,0.12,0.50,4,3,1,2,1,2,6,33.3,4,3,0,3,3,7,0,0
1655,1656,Luis Rioja,es ESP,FW,Alavés,es La Liga,30-352,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,0.00,0.57,2,1,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0
1656,1657,Luis Rioja,es ESP,"MF,FW",Valencia,es La Liga,30-352,1993,7,6,537,6.0,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.8,11,12,37,0.17,0.00,0.17,0.17,0.17,0.07,0.05,0.13,0.07,0.13,4,2,0,2,2,1,8,12.5,7,8,0,8,10,14,7,0
1657,1658,Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,24-183,2000,6,2,234,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.9,22,13,30,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.36,0.19,0.36,3,2,3,0,0,2,2,100.0,0,0,0,0,1,4,3,0
1658,1659,Alberto Risco,es ESP,"FW,MF",Getafe,es La Liga,19-033,2005,4,0,52,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,6,0.00,0.00,0.00,0.00,0.00,0.29,0.25,0.54,0.29,0.54,3,3,1,0,2,0,4,0.0,4,1,0,1,0,3,0,0
1659,1660,Lars Ritzka,de GER,"DF,FW",St. Pauli,de Bundesliga,26-148,1998,3,3,202,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,1,4,11,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,10,7,3,4,3,5,10,50.0,5,6,0,6,0,10,5,0
1660,1661,Gorka Rivera Alonso,es ESP,"DF,MF",Getafe,es La Liga,20-062,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
1661,1662,Sergi Roberto,es ESP,MF,Como,it Serie A,32-238,1992,5,3,317,3.5,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.3,2,20,7,0.00,0.28,0.28,0.00,0.28,0.18,0.18,0.36,0.18,0.36,8,6,2,3,3,4,5,80.0,1,2,0,2,7,15,4,0
1662,1663,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,30-205,1994,6,6,502,5.6,0,0,0,0,0,0,1,0,0.4,0.4,1.5,1.9,12,29,13,0.00,0.00,0.00,0.00,0.00,0.08,0.27,0.34,0.08,0.34,5,3,3,1,1,3,6,50.0,3,1,0,1,2,7,3,0
1663,1664,Antonee Robinson,us USA,DF,Fulham,eng Premier League,27-055,1997,6,6,540,6.0,0,2,2,0,0,0,1,0,0.1,0.1,0.5,0.6,9,16,29,0.00,0.33,0.33,0.00,0.33,0.02,0.08,0.10,0.02,0.10,22,16,10,11,1,11,14,78.6,3,6,1,5,9,31,23,0
1664,1665,Marc Roca,es ESP,MF,Betis,es La Liga,27-311,1996,8,8,666,7.4,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.9,10,44,9,0.00,0.14,0.14,0.00,0.14,0.07,0.06,0.12,0.07,0.12,13,8,7,6,0,8,14,57.1,6,15,4,11,8,21,9,0
1665,1666,Rodri,es ESP,MF,Manchester City,eng Premier League,28-102,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,2,1,1,1,0,0,0,,0,1,0,1,1,3,0,0
1666,1667,Rodri,es ESP,FW,Betis,es La Liga,24-139,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1
1667,1668,Álvaro Rodríguez,uy URU,FW,Getafe,es La Liga,20-080,2004,1,0,2,0.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,3.74,0.00,3.74,3.74,3.74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1668,1669,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,26-096,1998,6,4,309,3.4,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.6,3,13,8,0.00,0.29,0.29,0.00,0.29,0.07,0.10,0.16,0.07,0.16,5,2,1,3,1,1,4,25.0,3,1,0,1,3,8,1,0
1669,1670,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,21-199,2003,8,5,524,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,1,31,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,7,4,2,4,1,2,7,28.6,5,3,1,2,4,11,8,0
1670,1671,Dani Rodríguez,es ESP,"FW,MF",Mallorca,es La Liga,36-118,1988,8,6,485,5.4,2,2,4,2,0,0,1,0,0.9,0.9,1.0,1.8,7,24,23,0.37,0.37,0.74,0.37,0.74,0.16,0.18,0.34,0.16,0.34,12,10,6,4,2,5,6,83.3,1,3,0,3,2,14,5,0
1671,1672,Guido Rodríguez,ar ARG,MF,West Ham,eng Premier League,30-173,1994,6,6,460,5.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,12,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,14,5,9,5,0,6,11,54.5,5,6,1,5,8,22,10,0
1672,1673,James Rodríguez,co COL,"MF,FW",Rayo Vallecano,es La Liga,33-082,1991,3,1,85,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,3,4,2,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23,3,2,1,2,0,0,1,0.0,1,2,0,2,1,4,0,0
1673,1674,Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,21-098,2003,7,5,498,5.5,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,8,26,7,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,7,5,6,1,0,5,7,71.4,2,4,1,3,3,10,13,0
1674,1675,Kirian Rodríguez,es ESP,MF,Las Palmas,es La Liga,28-211,1996,8,8,663,7.4,0,1,1,0,0,0,1,0,1.1,1.1,0.7,1.8,13,62,17,0.00,0.14,0.14,0.00,0.14,0.14,0.09,0.24,0.14,0.24,12,7,4,8,0,8,20,40.0,12,8,1,7,2,14,6,0
1675,1676,Ricardo Rodríguez,ch SUI,DF,Betis,es La Liga,32-038,1992,4,3,248,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,7,6,4,1,2,3,5,60.0,2,1,0,1,3,10,6,0
1676,1677,Rodrygo,br BRA,FW,Real Madrid,es La Liga,23-267,2001,8,6,597,6.6,3,1,4,3,0,0,0,0,1.0,1.0,0.7,1.7,28,30,74,0.45,0.15,0.60,0.45,0.60,0.16,0.11,0.26,0.16,0.26,6,4,4,2,0,3,8,37.5,5,7,1,6,0,6,2,0
1677,1678,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,25-100,1999,5,2,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,12,10,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,3,1,3,0,0,1,4,25.0,3,2,0,2,2,5,5,0
1678,1679,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,eng Premier League,22-068,2002,6,6,513,5.7,1,2,3,1,0,0,1,0,0.8,0.8,2.1,2.9,17,15,33,0.18,0.35,0.53,0.18,0.53,0.14,0.36,0.50,0.14,0.50,5,3,2,1,2,2,5,40.0,3,6,2,4,1,6,4,0
1679,1680,Merlin Röhl,de GER,MF,Freiburg,de Bundesliga,22-089,2002,3,3,162,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,4,9,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.28,0.27,0.28,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0
1680,1681,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,29-264,1995,5,5,450,5.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,1,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,6,3,2,4,0,3,3,100.0,0,3,2,1,7,13,10,0
1681,1682,Leo Román,es ESP,GK,Mallorca,es La Liga,24-088,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1682,1683,Carlos Romero,es ESP,"DF,MF",Espanyol,es La Liga,22-339,2001,8,7,616,6.8,1,0,1,1,0,0,3,0,1.0,1.0,0.4,1.4,8,17,32,0.15,0.00,0.15,0.15,0.15,0.14,0.05,0.20,0.14,0.20,16,11,9,6,1,9,16,56.3,7,6,1,5,5,21,17,0
1683,1684,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,26-158,1998,6,6,540,6.0,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,3,29,1,0.17,0.00,0.17,0.17,0.17,0.13,0.03,0.16,0.13,0.16,12,12,9,3,0,7,9,77.8,2,11,3,8,6,18,18,0
1684,1685,Isaac Romero,es ESP,FW,Sevilla,es La Liga,24-137,2000,6,5,379,4.2,0,1,1,0,0,0,3,0,1.2,1.2,0.5,1.7,5,7,15,0.00,0.24,0.24,0.00,0.24,0.29,0.13,0.41,0.29,0.41,2,0,0,1,1,0,1,0.0,1,5,1,4,0,2,5,0
1685,1686,Luka Romero,ar ARG,"FW,MF",Alavés,es La Liga,19-319,2004,4,2,155,1.7,0,0,0,0,0,1,0,0,0.8,0.0,0.1,0.1,3,0,7,0.00,0.00,0.00,0.00,0.00,0.47,0.03,0.50,0.01,0.05,4,4,1,1,2,2,3,66.7,1,1,0,1,1,5,0,0
1686,1687,Oriol Romeu,es ESP,MF,Girona,es La Liga,33-008,1991,6,5,314,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,13,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,12,7,3,9,0,5,6,83.3,1,6,2,4,2,14,0,0
1687,1688,Valentin Rongier,fr FRA,"DF,MF",Marseille,fr Ligue 1,29-300,1994,4,1,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,5,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,6,3,4,2,0,1,4,25.0,3,4,1,3,2,8,7,0
1688,1689,Marten de Roon,nl NED,"DF,MF",Atalanta,it Serie A,33-187,1991,6,6,540,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,5,43,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,11,11,9,0,8,14,57.1,6,15,1,14,6,26,11,0
1689,1690,Vitor Roque,br BRA,FW,Betis,es La Liga,19-217,2005,5,2,246,2.7,1,0,1,1,0,0,0,0,2.2,2.2,0.5,2.7,4,1,14,0.37,0.00,0.37,0.37,0.37,0.79,0.20,0.99,0.79,0.99,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
1690,1691,Pablo Rosario,nl NED,"MF,DF",Nice,fr Ligue 1,27-269,1997,6,5,441,4.9,1,0,1,0,1,1,1,0,1.6,0.8,0.1,0.9,1,12,4,0.20,0.00,0.20,0.00,0.00,0.32,0.02,0.34,0.16,0.18,3,2,0,3,0,2,4,50.0,2,6,4,2,6,9,11,1
1691,1692,Lasse Rosenboom,de GER,DF,Holstein Kiel,de Bundesliga,22-257,2002,4,1,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,3,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,4,3,4,0,0,2,3,66.7,1,3,1,2,2,6,7,0
1692,1693,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,21-235,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,6,4,5,1,0,4,4,100.0,0,4,1,3,2,8,17,0
1693,1694,Valentin Rosier,fr FRA,DF,Leganés,es La Liga,28-044,1996,8,7,664,7.4,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3,7,10,19,0.00,0.14,0.14,0.00,0.14,0.01,0.04,0.05,0.01,0.05,25,23,17,8,0,15,23,65.2,8,11,1,10,10,35,34,0
1694,1695,Tom Rothe,de GER,"DF,MF",Union Berlin,de Bundesliga,19-339,2004,4,4,288,3.2,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,4,5,10,0.31,0.00,0.31,0.31,0.31,0.05,0.10,0.15,0.05,0.15,10,3,9,1,0,3,6,50.0,3,8,3,5,2,12,7,1
1695,1696,Anthony Rouault,fr FRA,DF,Stuttgart,de Bundesliga,23-126,2001,3,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1,1,0,2,2,100.0,0,3,1,2,2,4,8,0
1696,1697,Jonas Rouhi,se SWE,DF,Juventus,it Serie A,20-269,2004,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
1697,1698,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,22-303,2001,5,4,354,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,23,5,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,14,11,3,9,2,7,8,87.5,1,1,0,1,6,20,5,1
1698,1699,Jon Rowe,eng ENG,FW,Marseille,fr Ligue 1,21-155,2003,5,0,109,1.2,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,5,3,5,0.83,0.00,0.83,0.83,0.83,0.56,0.17,0.73,0.56,0.73,4,4,0,2,2,2,3,66.7,1,0,0,0,0,4,0,0
1699,1700,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,30-221,1994,6,6,540,6.0,0,1,1,0,0,0,1,0,0.5,0.5,0.1,0.7,2,29,0,0.00,0.17,0.17,0.00,0.17,0.09,0.02,0.12,0.09,0.12,4,2,3,1,0,1,5,20.0,4,4,1,3,2,6,24,0
1700,1701,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,31-213,1993,8,7,637,7.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,31,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,4,2,3,1,0,2,4,50.0,2,12,9,3,3,7,25,0
1701,1702,Matteo Ruggeri,it ITA,DF,Atalanta,it Serie A,22-083,2002,5,5,417,4.6,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,14,22,24,0.00,0.22,0.22,0.00,0.22,0.00,0.05,0.05,0.00,0.05,5,2,1,3,1,2,2,100.0,0,4,0,4,5,10,5,1
1702,1703,Aitor Ruibal,es ESP,"FW,DF",Betis,es La Liga,28-194,1996,8,4,318,3.5,0,0,0,0,0,0,1,0,0.5,0.5,0.6,1.1,5,9,22,0.00,0.00,0.00,0.00,0.00,0.14,0.18,0.32,0.14,0.32,3,2,0,1,2,2,6,33.3,4,2,1,1,3,6,2,0
1703,1704,Abel Ruiz,es ESP,FW,Girona,es La Liga,24-248,2000,8,8,567,6.3,2,0,2,1,1,1,2,0,2.1,1.3,0.0,1.3,11,9,30,0.32,0.00,0.32,0.16,0.16,0.33,0.01,0.33,0.20,0.21,1,0,1,0,0,1,4,25.0,3,4,1,3,2,3,3,0
1704,1705,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,28-182,1996,5,2,228,2.5,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,4,23,15,0.39,0.00,0.39,0.39,0.39,0.21,0.10,0.31,0.21,0.31,10,6,7,3,0,5,10,50.0,5,4,0,4,2,12,1,0
1705,1706,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32-135,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,1
1706,1707,Georginio Rutter,fr FRA,"FW,MF",Brighton,eng Premier League,22-165,2002,5,3,226,2.5,1,0,1,1,0,0,0,0,1.1,1.1,0.4,1.4,8,19,20,0.40,0.00,0.40,0.40,0.40,0.42,0.14,0.56,0.42,0.56,2,0,1,1,0,1,5,20.0,4,3,0,3,2,4,0,0
1707,1708,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,26-320,1997,5,5,388,4.3,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.7,10,9,24,0.00,0.23,0.23,0.00,0.23,0.02,0.16,0.17,0.02,0.17,3,3,1,1,1,3,6,50.0,3,4,1,3,5,8,4,0
1708,1709,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32-059,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
1709,1710,José Sá,pt POR,GK,Wolves,eng Premier League,31-259,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
1710,1711,Elias Saad,tn TUN,"FW,MF",St. Pauli,de Bundesliga,24-280,1999,5,2,254,2.8,2,2,4,2,0,0,1,0,0.9,0.9,0.4,1.4,10,11,18,0.71,0.71,1.42,0.71,1.42,0.32,0.16,0.48,0.32,0.48,9,6,4,3,2,4,9,44.4,5,6,0,6,0,9,1,0
1711,1712,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,31-211,1993,4,4,331,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,17,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,8,5,5,2,1,5,6,83.3,1,3,0,3,2,10,13,0
1712,1713,Emmanuel Sabbi,us USA,"MF,FW",Le Havre,fr Ligue 1,26-283,1997,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,10,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,3,2,2,1,0,0,1,0.0,1,2,0,2,1,4,0,0
1713,1714,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,31-263,1993,6,4,295,3.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,6,10,13,0.00,0.31,0.31,0.00,0.31,0.02,0.19,0.21,0.02,0.21,5,4,2,1,2,2,11,18.2,9,6,0,6,1,6,4,0
1714,1715,Marcel Sabitzer,at AUT,"MF,FW",Dortmund,de Bundesliga,30-199,1994,4,3,292,3.2,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,6,12,12,0.00,0.00,0.00,0.00,0.00,0.21,0.03,0.24,0.21,0.24,5,3,0,5,0,3,6,50.0,3,6,3,3,1,6,4,0
1715,1716,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,29-154,1995,6,6,495,5.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,6,21,20,0.00,0.18,0.18,0.00,0.18,0.00,0.02,0.02,0.00,0.02,10,5,8,1,1,6,13,46.2,7,6,1,5,8,18,6,0
1716,1717,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,27-243,1997,5,2,186,2.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,4,13,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,2,0
1717,1718,Alexis Saelemaekers,be BEL,"FW,DF",Roma,it Serie A,25-097,1999,2,2,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,3,6,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,4,2,3,1,0,2,2,100.0,0,1,0,1,0,4,1,0
1718,1719,Alexis Saelemaekers,be BEL,"DF,FW",Milan,it Serie A,25-097,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,4,13,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
1719,1720,Jorge Sáenz,es ESP,DF,Leganés,es La Liga,27-320,1996,5,5,386,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,4,0,0.23,0.00,0.23,0.23,0.23,0.09,0.01,0.10,0.09,0.10,10,7,4,5,1,2,4,50.0,2,4,2,2,7,17,31,0
1720,1721,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,25-220,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1721,1722,Modibo Sagnan,ml MLI,DF,Montpellier,fr Ligue 1,25-171,1999,6,6,540,6.0,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.5,6,11,2,0.17,0.00,0.17,0.17,0.17,0.08,0.01,0.09,0.08,0.09,15,6,6,7,2,8,12,66.7,4,7,4,3,11,26,24,1
1722,1723,Richie Sagrado,be BEL,DF,Venezia,it Serie A,20-246,2004,1,1,52,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
1723,1724,Osame Sahraoui,no NOR,"MF,FW",Lille,fr Ligue 1,23-113,2001,6,3,355,3.9,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,22,20,45,0.00,0.51,0.51,0.00,0.51,0.09,0.40,0.50,0.09,0.50,3,2,1,1,1,1,4,25.0,3,5,0,5,2,5,3,1
1724,1725,Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,29-166,1995,5,4,278,3.1,1,0,1,1,0,0,1,0,1.9,1.9,0.2,2.0,3,7,15,0.32,0.00,0.32,0.32,0.32,0.60,0.05,0.65,0.60,0.65,3,2,1,2,0,1,2,50.0,1,0,0,0,0,3,1,0
1725,1726,Bukayo Saka,eng ENG,"MF,FW",Arsenal,eng Premier League,23-027,2001,6,6,476,5.3,1,5,6,1,0,0,1,0,1.7,1.7,2.4,4.2,23,26,58,0.19,0.95,1.13,0.19,1.13,0.33,0.46,0.79,0.33,0.79,11,8,5,1,5,7,13,53.8,6,8,0,8,1,12,3,0
1726,1727,Marco Sala,it ITA,DF,Como,it Serie A,25-120,1999,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,3,2,1,1,1,1,1,100.0,0,1,0,1,1,4,2,0
1727,1728,Ibrahim Salah,ma MAR,FW,Brest,fr Ligue 1,23-033,2001,3,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,1,7,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.28,0.13,0.28,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
1728,1729,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32-109,1992,6,6,532,5.9,4,4,8,3,1,1,0,0,3.8,3.1,2.1,5.2,26,24,73,0.68,0.68,1.35,0.51,1.18,0.65,0.36,1.01,0.52,0.88,4,4,1,1,2,2,3,66.7,1,1,0,1,1,5,3,0
